Name,Profile_Link,Research_Interests,Dept,Tags
"BAHUGUNA, D.",http://home.iitk.ac.in/~dhiren/,"Differential Equations, Non-linear Analysis, Theory of Semigroups",Math,Differential Equations
"BAL, KAUSHIK",https://sites.google.com/view/kaushikb/home,Elliptic and Parabolic Partial Differential Equations.,Math,Partial Differential Equations
"BANERJEE, MOHUA",http://home.iitk.ac.in/%7Emohua/,"Rough Set Theory and its Applications, Modal Logics",Math,Set Theory
"BISWAS, MRINMAY",https://sites.google.com/view/mrinmayhome/home,"PDE, Stochastic PDE, Control Theory and Numerics.",Math,Partial Differential Equations
"CHANDEL, VIKRAMJEET SINGH",https://sites.google.com/view/vikramjeet-chandel,Several Complex Variables,Math,Other Mathematical Research Areas
"CHOWDHURY, INDRANIL",https://sites.google.com/view/indranil-chowdhury-math,"Theory and Numerical Analysis of PDEs, Nonlocal/ Fractional order Problems, Fully Nonlinear Equations",Math,"Numerical Analysis, Partial Differential Equations"
"DUTTA, SUBHAJIT",https://www.sites.google.com/site/tijahbus/,"Discriminant Analysis, Inference based on Data Depth, Characterization of Multivariate Distributions, Classification of Sequence Data",Math,"Multivariable Algebra, Algebra"
"GHORAI, S.",https://home.iitk.ac.in/~sghorai/,"Computational Fluid Dynamics, Mathematical Biology, Adaptive Unstructured grid",Math,Mathematical Biology
"HAZRA, ARNAB",https://sites.google.com/view/arnabhazra09/,"Spatial Statistics, Bayesian modeling, Extreme value analysis, Environmental Statistics.",Math,Statistics
"KUBER, AMIT",https://sites.google.com/view/exploring-infinity-within/home,"Representation theory of quivers, order theory, K-theory of model-theoretic structures",Math,Other Mathematical Research Areas
"Kumar, Ashutosh",https://home.iitk.ac.in/~krashu/,"Mathematical Logic, Set Theory and its applications to Analysis, Measure Theory and Topology.",Math,Topology
"MANDAL, ASHIS",https://sites.google.com/view/amandaliitk/home,"Algebraic Topology; Deformation of Algebraic Structures,Higher Structures and RelatedFields",Math,"Topology, Algebra"
"MITRA, AMIT",http://home.iitk.ac.in/~amitra/,"Statistical Signal Processing, Data mining in Finance and Econometrics",Math,"Finance, Economics"
"Mukhopadhyay, Minerva",https://sites.google.com/view/mmukhopadhyay/home?authuser=0,"Asymptotic Statistics, Bayesian Variable Selection, Nonparametric Inference.",Math,Statistics
"MUTHUKUMAR, P.",https://sites.google.com/view/pmuthukumar/home,Complex Analysis and Operator Theory,Math,Analysis
"Nadimpalli, Santosh",https://home.iitk.ac.in/~nsantosh/,Representation theory,Math,Representation theory
"PAL, A.",https://sites.google.com/site/abhijitwebpage/,"Geometric Group Theory, Relatively Hyperbolic Groups, Mapping Class Groups",Math,Algebra
"PATTANAYAK, S. K.",http://home.iitk.ac.in/~santosha/,"Algebraic Groups and Invariant Theory, Lie Algebras and Representation Theory",Math,Algebra
"RAWAT, RAMA",http://home.iitk.ac.in/~rrawat/,"Harmonic analysis: Pompeiu problem, Lp analogues of Wiener-Tauberian theorem for homogenous spaces, spherical means and injectivity sets.",Math,Other Mathematical Research Areas
"SADHUKHAN, SOUMYARUP",https://sites.google.com/view/soumyarups,"Game Theory, Combinatorial Games, Choice Theory, and Mechanism Design",Math,Operations Research
"SANKI, BIDYUT",https://sites.google.com/view/homebidyut-iitk/home,Topology and Geometry,Math,"Topology, Geometry"
SHALABH,http://home.iitk.ac.in/~shalab/,"Econometrics, Regression Analysis, Linear Models, Measurement Error Models,Sampling Theory",Math,"Economics, Machine Learning"
"SHUNMUGARAJ, P.",http://home.iitk.ac.in/~psraj/,Functional Analysis,Math,Analysis
"SINGH, SAURABH KUMAR",/math/../webtheme/math/,"L-Function, Sub-convexity problems, Sieve Method, Riemann Zeta Function",Math,Other Mathematical Research Areas
"SINGLA, POOJA",https://sites.google.com/site/poojasingla7/Home,"Representations theory of finite and p-adic groups, Applications of representation theory",Math,Other Mathematical Research Areas
"VATS, DOOTIKA",https://dvats.github.io/,"Markov chain Monte Carlo, Monte Carlo, Bayesian computation, Bayesian statistics",Math,Statistics
